
Search Parameters:State in (AS)	
Data Group	Sampling Year	Station Name	Sampling Collection Date	Latitude Decimal Degrees	Longitude Decimal Degrees	Water Column Sampled	Water Measurement Name	Value	Units	Detection Limit Concentration	Collection Depth	Depth Units	Collection Property	Method Used	QA Code	
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	Water column photosynthetically active radiation	485.5	µE/m2/s		5.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water5	pH	7.9	pH units		5.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	Ambient photosynthetically active radiation	1515.0	µE/m2/s		10.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	Dissolved oxygen	6.65	mg/L		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	Salinity	35.8	ppt		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	Temperature	29.6	deg C		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	Water column photosynthetically active radiation	385.5	µE/m2/s		10.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water6	pH	7.9	pH units		10.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	Ambient photosynthetically active radiation	1463.0	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	Dissolved oxygen	6.6	mg/L		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	Salinity	35.8	ppt		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	Temperature	29.6	deg C		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	Water column photosynthetically active radiation	243.0	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Mid-water7	pH	7.9	pH units		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	Ambient photosynthetically active radiation	1372.5	µE/m2/s		0.5	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	Dissolved oxygen	6.65	mg/L		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	Salinity	35.75	ppt		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	Temperature	29.65	deg C		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	Water column photosynthetically active radiation	1043.5	µE/m2/s		0.5	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0002	13-APR-2004	-14.236	-170.669	Surface	pH	7.85	pH units		0.5	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	Ambient photosynthetically active radiation	1778.5	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	Dissolved oxygen	6.95	mg/L		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	Salinity	35.8	ppt		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	Temperature	29.6	deg C		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	Water column photosynthetically active radiation	317.0	µE/m2/s		15.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Bottom	pH	7.9	pH units		15.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Ambient photosynthetically active radiation	1819.5	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Dissolved oxygen	6.7	mg/L		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Salinity	35.8	ppt		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Secchi depth	15.0	m		15.0	m		Secchi disk		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Temperature	29.6	deg C		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	Water column photosynthetically active radiation	1062.0	µE/m2/s		1.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water1	pH	7.9	pH units		1.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	Ambient photosynthetically active radiation	1792.0	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	Dissolved oxygen	6.75	mg/L		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	Salinity	35.8	ppt		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	Temperature	29.6	deg C		2.0	m		Hydrolab/YSI		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	Water column photosynthetically active radiation	757.5	µE/m2/s		2.0	m		Licor 2pi Sensor		
National Coastal Assessment-Pacific Insular/U.S. National Park Service	2004	AS04-0003	13-APR-2004	-14.238	-170.669	Mid-water2	pH	7.9	pH units		2.0	m		Hydrolab/YSI		
