Tag,Date,Parameter Code,Values,Parameter Description,Units of Measurement,Media,Method,Type,Lat ,Long
13506093,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506092,3/14/12,10,12.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506091,3/14/12,10,12.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506090,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506089,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506088,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506087,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506086,3/14/12,10,13.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506085,3/14/12,10,13,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506084,3/14/12,10,13.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506083,3/14/12,10,13.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506081,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506080,3/14/12,10,11.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506079,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506078,3/14/12,10,11.9,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506077,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506076,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506075,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506074,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506073,3/14/12,10,12,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506072,3/14/12,10,12.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
13506071,3/14/12,10,12.1,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23232,3/7/12,10,13.6,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23231,3/7/12,10,10.7,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
RR23224,2/2/12,10,12.3,"TEMPERATURE, WATER (DEGREES CENTIGRADE)",DEG C,Water,N/A Calculation,Water,33.90492,-96.665033
